rank_final,school_name,city,state,public_private,admissions_homepage_url,common_data_set_url,catalog_programs_url,deadlines_url,url_verification_status,rank_confidence
11,Northwestern University,Evanston,IL,Private,https://admissions.northwestern.edu/,https://enrollment.northwestern.edu/data/common-data-set.html,미검증(추정),미검증(추정),"라이브 검증(2026-09-19, WebSearch) - 검증",높음(학습데이터 기반)
12,Columbia University,New York,NY,Private,https://undergrad.admissions.columbia.edu/,https://opir.columbia.edu/cds,미검증(추정),미검증(추정),"라이브 검증(2026-09-19, WebSearch) - 검증",높음(학습데이터 기반)
13,Cornell University,Ithaca,NY,Private,https://admissions.cornell.edu/,https://irp.cornell.edu/common-data-set,미검증(추정),미검증(추정),"라이브 검증(2026-09-19, WebSearch) - 검증",높음(학습데이터 기반)
14,University of Chicago,Chicago,IL,Private,https://collegeadmissions.uchicago.edu/,https://data.uchicago.edu/common-data-set,미검증(추정),미검증(추정),"라이브 검증(2026-09-19, WebSearch) - 검증",높음(학습데이터 기반)
15,"University of California, Berkeley",Berkeley,CA,Public,https://admissions.berkeley.edu/,https://opa.berkeley.edu/campus-data/common-data-set,미검증(추정),미검증(추정),"라이브 검증(2026-09-19, WebSearch) - 검증",높음(학습데이터 기반)
16,"University of California, Los Angeles",Los Angeles,CA,Public,https://admission.ucla.edu/,https://apb.ucla.edu/campus-statistics/common-data-set-undergraduate-profile,미검증(추정),미검증(추정),"라이브 검증(2026-09-19, WebSearch) - 검증",높음(학습데이터 기반)
17,Rice University,Houston,TX,Private,https://admission.rice.edu/,https://ideas.rice.edu/,미검증(추정),미검증(추정),"라이브 검색함(2026-09-19) - 검증(CDS 정확 인덱스 URL 미확정, 호스트만 확인)",높음(학습데이터 기반)
18,University of Notre Dame,Notre Dame,IN,Private,https://admissions.nd.edu/,https://www3.nd.edu/~instres/CDS/,미검증(추정),미검증(추정),"라이브 검색함(2026-09-19) - 검증(CDS 정확 인덱스 URL 미확정, 호스트만 확인)",높음(학습데이터 기반)
19,Vanderbilt University,Nashville,TN,Private,https://admissions.vanderbilt.edu/,https://www.vanderbilt.edu/data/public-data/common-data-sets/,미검증(추정),미검증(추정),"라이브 검증(2026-09-19, WebSearch) - 검증",높음(학습데이터 기반)
20,Carnegie Mellon University,Pittsburgh,PA,Private,https://www.cmu.edu/admission/,https://www.cmu.edu/ira/CDS/,미검증(추정),미검증(추정),"라이브 검증(2026-09-19, WebSearch) - 검증",높음(학습데이터 기반)
21,"University of Michigan, Ann Arbor",Ann Arbor,MI,Public,https://admissions.umich.edu/,https://obp.umich.edu/campus-statistics/,미검증(추정),미검증(추정),"라이브 검증(2026-09-19, WebSearch) - 검증",높음(학습데이터 기반)
22,Georgetown University,Washington,DC,Private,https://uadmissions.georgetown.edu/,https://oads.georgetown.edu/commondataset/,미검증(추정),미검증(추정),"라이브 검증(2026-09-19, WebSearch) - 검증",높음(학습데이터 기반)
23,University of Virginia,Charlottesville,VA,Public,https://admission.virginia.edu/,https://ira.virginia.edu/common-data-set/common-data-set-2025-2026,미검증(추정),미검증(추정),"라이브 검증(2026-09-19, WebSearch) - 검증",높음(학습데이터 기반)
24,Emory University,Atlanta,GA,Private,https://apply.emory.edu/,https://provost.emory.edu/planning-administration/data/factbook/admissions.html,미검증(추정),미검증(추정),"라이브 검증(2026-09-19, WebSearch) - 검증",높음(학습데이터 기반)
25,"University of California, San Diego",San Diego,CA,Public,https://admissions.ucsd.edu/,https://ir.ucsd.edu/stats/undergrad/common-data-set.html,미검증(추정),미검증(추정),"라이브 검증(2026-09-19, WebSearch) - 검증",높음(학습데이터 기반)
26,University of Southern California,Los Angeles,CA,Private,https://admission.usc.edu/,https://oir.usc.edu/common-data-set-archive/,미검증(추정),미검증(추정),"라이브 검증(2026-09-19, WebSearch) - 검증",높음(학습데이터 기반)
27,University of Florida,Gainesville,FL,Public,https://admissions.ufl.edu/,https://www.ir.ufl.edu/OIRAPPS/commondataset/c_ftic_admission.aspx,미검증(추정),미검증(추정),"라이브 검증(2026-09-19, WebSearch) - 검증",높음(학습데이터 기반)
28,University of North Carolina at Chapel Hill,Chapel Hill,NC,Public,https://admissions.unc.edu/,https://oira.unc.edu/reports/reports-archives/common-data-set/,미검증(추정),미검증(추정),"라이브 검증(2026-09-19, WebSearch) - 검증",높음(학습데이터 기반)
29,University of Texas at Austin,Austin,TX,Public,https://admissions.utexas.edu/,https://reports.utexas.edu/common-data-set,미검증(추정),미검증(추정),"라이브 검증(2026-09-19, WebSearch) - 검증",높음(학습데이터 기반)
30,Georgia Institute of Technology,Atlanta,GA,Public,https://admission.gatech.edu/,https://irp.gatech.edu/,미검증(추정),미검증(추정),"라이브 검색함(2026-09-19) - 검증(CDS 정확 인덱스 URL 미확정, 호스트만 확인)",높음(학습데이터 기반)
31,"University of California, Davis",Davis,CA,Public,https://admissions.ucdavis.edu/,https://aggiedata.ucdavis.edu/,미검증(추정),미검증(추정),"라이브 검증(2026-09-19, WebSearch) - 검증",높음(학습데이터 기반)
32,University of Illinois Urbana-Champaign,Champaign,IL,Public,https://admissions.illinois.edu/,https://oir.uic.edu/common-data-set-3/,미검증(추정),미검증(추정),라이브 검색함(2026-09-19) - 확인 필요(검색 결과가 UIC와 혼동됨 - UIUC 자체 CDS 페이지 재확인 필요),높음(학습데이터 기반)
33,"University of California, Irvine",Irvine,CA,Public,https://admissions.uci.edu/,https://irap.uci.edu/institutional-research/data-hub/common-data-set/,미검증(추정),미검증(추정),"라이브 검증(2026-09-19, WebSearch) - 검증",높음(학습데이터 기반)
34,University of Wisconsin-Madison,Madison,WI,Public,https://admissions.wisc.edu/,https://data.wisc.edu/admissions/,미검증(추정),미검증(추정),"라이브 검증(2026-09-19, WebSearch) - 검증",높음(학습데이터 기반)
35,Boston College,Chestnut Hill,MA,Private,https://www.bc.edu/bc-web/admission.html,https://www.bc.edu/bc-web/sites/common-data-set.html,미검증(추정),미검증(추정),"라이브 검증(2026-09-19, WebSearch) - 검증",높음(학습데이터 기반)
36,University of Washington,Seattle,WA,Public,https://admit.washington.edu/,https://www.washington.edu/opb/,미검증(추정),미검증(추정),라이브 검색함(2026-09-19) - 검증(CDS 정확 인덱스 URL 미확정),높음(학습데이터 기반)
37,Tufts University,Medford,MA,Private,https://admissions.tufts.edu/,https://provost.tufts.edu/institutionalresearch/about-tufts/common-data-set/,미검증(추정),미검증(추정),"라이브 검증(2026-09-19, WebSearch) - 검증",높음(학습데이터 기반)
38,"University of California, Santa Barbara",Santa Barbara,CA,Public,https://admission.ucsb.edu/,https://bap.ucsb.edu/,미검증(추정),미검증(추정),라이브 검색함(2026-09-19) - 확인 필요(CDS 정확 URL 미확정),높음(학습데이터 기반)
39,Boston University,Boston,MA,Private,https://www.bu.edu/admissions/,https://www.bu.edu/asir/,미검증(추정),미검증(추정),"라이브 검증(2026-09-19, WebSearch) - 검증",높음(학습데이터 기반)
40,Ohio State University,Columbus,OH,Public,https://undergrad.osu.edu/,https://irp.osu.edu/institutional-data-and-reports,미검증(추정),미검증(추정),"라이브 검증(2026-09-19, WebSearch) - 검증",높음(학습데이터 기반)
41,Rutgers University-New Brunswick,New Brunswick,NJ,Public,https://admissions.rutgers.edu/,https://oirap.rutgers.edu/CDS/,미검증(추정),미검증(추정),"라이브 검증(2026-09-19, WebSearch) - 검증",높음(학습데이터 기반)
42,University of Rochester,Rochester,NY,Private,https://admissions.rochester.edu/,https://www.rochester.edu/provost/university-data/data-insights-reporting/university-of-rochester-common-data-set/,미검증(추정),미검증(추정),"라이브 검증(2026-09-19, WebSearch) - 검증",높음(학습데이터 기반)
43,Purdue University,West Lafayette,IN,Public,https://www.admissions.purdue.edu/,https://www.purdue.edu/idata/products-services/common-data-set/,미검증(추정),미검증(추정),"라이브 검증(2026-09-19, WebSearch) - 검증",높음(학습데이터 기반)
44,Texas A&M University,College Station,TX,Public,https://admissions.tamu.edu/,https://abpa.tamu.edu/,미검증(추정),미검증(추정),"라이브 검증(2026-09-19, WebSearch) - 검증",높음(학습데이터 기반)
45,"University of Maryland, College Park",College Park,MD,Public,https://admissions.umd.edu/,https://www.irpa.umd.edu/InstitutionalData/cds.html,미검증(추정),미검증(추정),"라이브 검증(2026-09-19, WebSearch) - 검증",높음(학습데이터 기반)
46,University of Georgia,Athens,GA,Public,https://admissions.uga.edu/,https://oir.uga.edu/categorized-reports/external-reports/oir-survey-submission/common-data-set/,미검증(추정),미검증(추정),"라이브 검증(2026-09-19, WebSearch) - 검증",높음(학습데이터 기반)
47,Florida State University,Tallahassee,FL,Public,https://admissions.fsu.edu/,https://ir.fsu.edu/commondataset.aspx,미검증(추정),미검증(추정),"라이브 검증(2026-09-19, WebSearch) - 검증",높음(학습데이터 기반)
48,Northeastern University,Boston,MA,Private,https://admissions.northeastern.edu/,https://uds.northeastern.edu/university-facts/common-data-set/,미검증(추정),미검증(추정),"라이브 검증(2026-09-19, WebSearch) - 검증",높음(학습데이터 기반)
49,University of Miami,Coral Gables,FL,Private,https://admission.miami.edu/,https://irsa.miami.edu/facts-and-information/common-data-set/index.html,미검증(추정),미검증(추정),"라이브 검증(2026-09-19, WebSearch) - 검증",높음(학습데이터 기반)
50,Pepperdine University,Malibu,CA,Private,https://seaver.pepperdine.edu/admission/,https://www.pepperdine.edu/oie/institutional-research/common-data-set.htm,미검증(추정),미검증(추정),"라이브 검증(2026-09-19, WebSearch) - 검증",높음(학습데이터 기반)
51,University of Connecticut,Storrs,CT,Public,https://admissions.uconn.edu/,https://bpir.uconn.edu/,미검증(추정),미검증(추정),"라이브 검증(2026-09-19, WebSearch) - 검증",높음(학습데이터 기반)
52,"Penn State University, University Park",University Park,PA,Public,https://admissions.psu.edu/,https://www.purdue.edu/,미검증(추정),미검증(추정),"라이브 검색함(2026-09-19) - 확인 필요(정확 CDS 인덱스 URL 미확정, 호스트는 sites.psu.edu로 추정)",높음(학습데이터 기반)
53,University of Massachusetts Amherst,Amherst,MA,Public,https://www.umass.edu/admissions/,https://www.umass.edu/uair/data/common-data-set,미검증(추정),미검증(추정),"라이브 검증(2026-09-19, WebSearch) - 검증",높음(학습데이터 기반)
54,Virginia Tech,Blacksburg,VA,Public,https://admissions.vt.edu/,https://aie.vt.edu/analytics-and-ai/common-data-set.html,미검증(추정),미검증(추정),"라이브 검증(2026-09-19, WebSearch) - 검증",높음(학습데이터 기반)
55,"University of California, Santa Cruz",Santa Cruz,CA,Public,https://admissions.ucsc.edu/,https://mediafiles.ucsc.edu/iraps/common-data-set/,미검증(추정),미검증(추정),"라이브 검증(2026-09-19, WebSearch) - 검증",높음(학습데이터 기반)
56,University of Pittsburgh,Pittsburgh,PA,Public,https://oafa.pitt.edu/,https://www.ir.pitt.edu/university-information/common-data-set,미검증(추정),미검증(추정),"라이브 검증(2026-09-19, WebSearch) - 검증",높음(학습데이터 기반)
57,Case Western Reserve University,Cleveland,OH,Private,https://case.edu/admission/,https://case.edu/ir/,미검증(추정),미검증(추정),"라이브 검증(2026-09-19, WebSearch) - 검증",높음(학습데이터 기반)
58,Clemson University,Clemson,SC,Public,https://www.clemson.edu/admissions/,https://open.clemson.edu/cds/,미검증(추정),미검증(추정),"라이브 검증(2026-09-19, WebSearch) - 검증",높음(학습데이터 기반)
59,Indiana University Bloomington,Bloomington,IN,Public,https://admissions.indiana.edu/,https://iuia.iu.edu/apps/cds/,미검증(추정),미검증(추정),라이브 검색함(2026-09-19) - 확인 필요(정확 URL 재확인 권장),높음(학습데이터 기반)
60,Southern Methodist University,Dallas,TX,Private,https://www.smu.edu/admission,https://www.smu.edu/provost/university-decision-support/statistics/commondatasets,미검증(추정),미검증(추정),"라이브 검증(2026-09-19, WebSearch) - 검증",높음(학습데이터 기반)
61,Syracuse University,Syracuse,NY,Private,미검증(추정),미검증(추정),미검증(추정),미검증(추정),미검증(추정) - 이 세션에서 라이브 검색하지 않음,높음(학습데이터 기반)
62,Worcester Polytechnic Institute,Worcester,MA,Private,https://www.wpi.edu/admissions,https://www.wpi.edu/offices/strategic-initiatives-university-analytics/data-resources,미검증(추정),미검증(추정),"라이브 검증(2026-09-19, WebSearch) - 검증",높음(학습데이터 기반)
63,Baylor University,Waco,TX,Private,https://www.baylor.edu/admissions/,https://ir.web.baylor.edu/,미검증(추정),미검증(추정),"라이브 검증(2026-09-19, WebSearch) - 검증",높음(학습데이터 기반)
64,Elon University,Elon,NC,Private,https://www.elon.edu/u/admissions/,https://www.elon.edu/u/administration/institutional-effectiveness/cds/,미검증(추정),미검증(추정),"라이브 검증(2026-09-19, WebSearch) - 검증",높음(학습데이터 기반)
65,Fordham University,New York,NY,Private,https://www.fordham.edu/undergraduate-admission/,https://www.fordham.edu/about/leadership-and-administration/administrative-offices/office-of-the-provost/provost-office-units/institutional-research-and-assessment/consumer-information/common-data-set/,미검증(추정),미검증(추정),"라이브 검증(2026-09-19, WebSearch) - 검증",높음(학습데이터 기반)
66,University of Delaware,Newark,DE,Public,https://www.udel.edu/apply/,https://ire.udel.edu/common-data-set/,미검증(추정),미검증(추정),"라이브 검증(2026-09-19, WebSearch) - 검증",높음(학습데이터 기반)
67,"University of Minnesota, Twin Cities",Minneapolis,MN,Public,https://admissions.tc.umn.edu/,https://oem.umn.edu/common-data-set,미검증(추정),미검증(추정),"라이브 검증(2026-09-19, WebSearch) - 검증",높음(학습데이터 기반)
68,American University,Washington,DC,Private,https://www.american.edu/admissions/,https://www.american.edu/provost/oira/common-data-set.cfm,미검증(추정),미검증(추정),"라이브 검증(2026-09-19, WebSearch) - 검증",높음(학습데이터 기반)
69,Colorado School of Mines,Golden,CO,Public,https://www.mines.edu/admissions/,https://ir.mines.edu/,미검증(추정),미검증(추정),라이브 검색함(2026-09-19) - 확인 필요(CDS 정확 URL 미확정),높음(학습데이터 기반)
70,Rensselaer Polytechnic Institute,Troy,NY,Private,https://admissions.rpi.edu/,https://provost.rpi.edu/institutional-research-and-assessment,미검증(추정),미검증(추정),"라이브 검증(2026-09-19, WebSearch) - 검증",높음(학습데이터 기반)
71,Stevens Institute of Technology,Hoboken,NJ,Private,https://www.stevens.edu/admission,https://www.stevens.edu/office-of-institutional-research-and-effectiveness/facts-and-figures,미검증(추정),미검증(추정),"라이브 검증(2026-09-19, WebSearch) - 검증",높음(학습데이터 기반)
72,Texas Christian University,Fort Worth,TX,Private,https://admissions.tcu.edu/,https://ir.tcu.edu/facts-data/,미검증(추정),미검증(추정),"라이브 검증(2026-09-19, WebSearch) - 검증",높음(학습데이터 기반)
73,Villanova University,Villanova,PA,Private,https://www.villanova.edu/villanova/enroll/admission.html,https://www.villanova.edu/university/enrollment-management/systems-analytics.html,미검증(추정),미검증(추정),"라이브 검증(2026-09-19, WebSearch) - 검증",높음(학습데이터 기반)
74,George Washington University,Washington,DC,Private,https://admissions.gwu.edu/,https://irp.gwu.edu/common-data-set,미검증(추정),미검증(추정),"라이브 검증(2026-09-19, WebSearch) - 검증",높음(학습데이터 기반)
75,Michigan State University,East Lansing,MI,Public,https://admissions.msu.edu/,https://ir.msu.edu/about-ir/data-availability,미검증(추정),미검증(추정),"라이브 검증(2026-09-19, WebSearch) - 검증",높음(학습데이터 기반)
76,North Carolina State University,Raleigh,NC,Public,https://www.ncsu.edu/admissions/,https://report.isa.ncsu.edu/ir/cds/,미검증(추정),미검증(추정),"라이브 검증(2026-09-19, WebSearch) - 검증",높음(학습데이터 기반)
77,University of Iowa,Iowa City,IA,Public,https://admissions.uiowa.edu/,https://provost.uiowa.edu/data-and-reports/common-data-set,미검증(추정),미검증(추정),"라이브 검증(2026-09-19, WebSearch) - 검증",높음(학습데이터 기반)
78,Auburn University,Auburn,AL,Public,https://www.auburn.edu/admissions/,https://auburn.edu/administration/ir/common-data-set/,미검증(추정),미검증(추정),"라이브 검증(2026-09-19, WebSearch) - 검증",높음(학습데이터 기반)
79,Brigham Young University,Provo,UT,Private,https://admissions.byu.edu/,https://data.byu.edu/common-data-set,미검증(추정),미검증(추정),"라이브 검증(2026-09-19, WebSearch) - 검증",높음(학습데이터 기반)
80,Lehigh University,Bethlehem,PA,Private,https://www1.lehigh.edu/admissions,https://data.lehigh.edu/common-data-set,미검증(추정),미검증(추정),"라이브 검증(2026-09-19, WebSearch) - 검증",높음(학습데이터 기반)
81,Loyola Marymount University,Los Angeles,CA,Private,https://admission.lmu.edu/,https://academics.lmu.edu/officeofinstitutionalresearch/officialstatisticsandotherreporting/commondatasetcds/,미검증(추정),미검증(추정),"라이브 검증(2026-09-19, WebSearch) - 검증",높음(학습데이터 기반)
82,Marquette University,Milwaukee,WI,Private,https://www.marquette.edu/admission/,https://www.marquette.edu/academic-effectiveness/institutional-research-analysis/public-reports/common-data-set.php,미검증(추정),미검증(추정),"라이브 검증(2026-09-19, WebSearch) - 검증",높음(학습데이터 기반)
83,Rutgers University-Newark,Newark,NJ,Public,https://admissions.newark.rutgers.edu/,https://oirap.rutgers.edu/CDS/,미검증(추정),미검증(추정),라이브 검색함(2026-09-19) - 검증(뉴브런즈윅과 동일 OIRAP 소스),높음(학습데이터 기반)
84,Santa Clara University,Santa Clara,CA,Private,https://www.scu.edu/admission/,https://www.scu.edu/institutional-research/data/common-data-set-cds/,미검증(추정),미검증(추정),"라이브 검증(2026-09-19, WebSearch) - 검증",높음(학습데이터 기반)
85,Seton Hall University,South Orange,NJ,Private,https://www.shu.edu/admissions/,https://www.shu.edu/,미검증(추정),미검증(추정),"라이브 검색함(2026-09-19) - 확인 필요(공개 CDS 최신본 링크 불확실, 2004-05본만 검색됨)",높음(학습데이터 기반)
86,University of Alabama,Tuscaloosa,AL,Public,https://gobama.ua.edu/,https://oira.ua.edu/,미검증(추정),미검증(추정),"라이브 검증(2026-09-19, WebSearch) - 검증",높음(학습데이터 기반)
87,University of Denver,Denver,CO,Private,https://www.du.edu/admission-aid,https://www.du.edu/ir/reporting/cds,미검증(추정),미검증(추정),"라이브 검증(2026-09-19, WebSearch) - 검증",높음(학습데이터 기반)
88,University of San Diego,San Diego,CA,Private,https://www.sandiego.edu/admissions/,https://www.sandiego.edu/facts/cds/,미검증(추정),미검증(추정),"라이브 검증(2026-09-19, WebSearch) - 검증",높음(학습데이터 기반)
89,Binghamton University (SUNY),Binghamton,NY,Public,https://www.binghamton.edu/admissions/,https://www.binghamton.edu/offices/oir/institutional-data/index.html,미검증(추정),미검증(추정),"라이브 검증(2026-09-19, WebSearch) - 검증",높음(학습데이터 기반)
90,Colorado State University,Fort Collins,CO,Public,https://admissions.colostate.edu/,https://www.ir.colostate.edu/common-data-set/,미검증(추정),미검증(추정),"라이브 검증(2026-09-19, WebSearch) - 검증",높음(학습데이터 기반)
91,Drexel University,Philadelphia,PA,Private,https://drexel.edu/admissions/,https://drexel.edu/institutionalresearch/university-data,미검증(추정),미검증(추정),"라이브 검증(2026-09-19, WebSearch) - 검증",높음(학습데이터 기반)
92,Florida International University,Miami,FL,Public,https://admissions.fiu.edu/,https://w3.fiu.edu/irdata/portal/cds.htm,미검증(추정),미검증(추정),"라이브 검증(2026-09-19, WebSearch) - 검증",높음(학습데이터 기반)
93,Illinois Institute of Technology,Chicago,IL,Private,https://admissions.iit.edu/,https://www.iit.edu/oii/common-data-set,미검증(추정),미검증(추정),"라이브 검증(2026-09-19, WebSearch) - 검증",높음(학습데이터 기반)
94,Miami University,Oxford,OH,Public,https://miamioh.edu/admission/,https://miamioh.edu/oir/data/cds/,미검증(추정),미검증(추정),"라이브 검증(2026-09-19, WebSearch) - 검증",높음(학습데이터 기반)
95,Ohio University,Athens,OH,Public,https://www.ohio.edu/admissions,https://www.ohio.edu/iea/historical-data/historic-common-data-set-reports,미검증(추정),미검증(추정),"라이브 검증(2026-09-19, WebSearch) - 검증",높음(학습데이터 기반)
96,Rutgers University-Camden,Camden,NJ,Public,https://admissions.camden.rutgers.edu/,https://oirap.rutgers.edu/CDS/,미검증(추정),미검증(추정),라이브 검색함(2026-09-19) - 검증(뉴브런즈윅과 동일 OIRAP 소스),높음(학습데이터 기반)
97,University at Buffalo (SUNY),Buffalo,NY,Public,https://admissions.buffalo.edu/,https://www.buffalo.edu/content/dam/www/oia/Common-Data-Sets/,미검증(추정),미검증(추정),"라이브 검증(2026-09-19, WebSearch) - 검증",높음(학습데이터 기반)
98,"University of California, Riverside",Riverside,CA,Public,https://admissions.ucr.edu/,https://ir.ucr.edu/cds,미검증(추정),미검증(추정),"라이브 검증(2026-09-19, WebSearch) - 검증",높음(학습데이터 기반)
99,University of Oregon,Eugene,OR,Public,https://admissions.uoregon.edu/,https://ir.uoregon.edu/,미검증(추정),미검증(추정),라이브 검색함(2026-09-19) - 확인 필요(CDS 정확 URL 미확정),높음(학습데이터 기반)
100,University of San Francisco,San Francisco,CA,Private,https://www.usfca.edu/admission,https://myusf.usfca.edu/,미검증(추정),미검증(추정),"라이브 검색함(2026-09-19) - 확인 필요(최신 CDS 링크 불확실, 2017-18본만 검색됨)",높음(학습데이터 기반)
101,"University of Tennessee, Knoxville",Knoxville,TN,Public,https://admissions.utk.edu/,https://irsa.utk.edu/reporting/common-data-set/,미검증(추정),미검증(추정),"라이브 검증(2026-09-19, WebSearch) - 검증",높음(학습데이터 기반)
102,University of Vermont,Burlington,VT,Public,https://admissions.uvm.edu/,https://www.uvm.edu/oira/common-data-set,미검증(추정),미검증(추정),"라이브 검증(2026-09-19, WebSearch) - 검증",높음(학습데이터 기반)
103,Clark University,Worcester,MA,Private,미검증(추정),미검증(추정),미검증(추정),미검증(추정),미검증(추정) - 이 세션에서 라이브 검색하지 않음,"중간(순위 정밀도 낮음, 학교명은 비교적 확실)"
104,DePaul University,Chicago,IL,Private,미검증(추정),미검증(추정),미검증(추정),미검증(추정),미검증(추정) - 이 세션에서 라이브 검색하지 않음,"중간(순위 정밀도 낮음, 학교명은 비교적 확실)"
105,Iowa State University,Ames,IA,Public,미검증(추정),미검증(추정),미검증(추정),미검증(추정),미검증(추정) - 이 세션에서 라이브 검색하지 않음,"중간(순위 정밀도 낮음, 학교명은 비교적 확실)"
106,Louisiana State University,Baton Rouge,LA,Public,미검증(추정),미검증(추정),미검증(추정),미검증(추정),미검증(추정) - 이 세션에서 라이브 검색하지 않음,"중간(순위 정밀도 낮음, 학교명은 비교적 확실)"
107,Saint Louis University,St. Louis,MO,Private,미검증(추정),미검증(추정),미검증(추정),미검증(추정),미검증(추정) - 이 세션에서 라이브 검색하지 않음,"중간(순위 정밀도 낮음, 학교명은 비교적 확실)"
108,Temple University,Philadelphia,PA,Public,미검증(추정),미검증(추정),미검증(추정),미검증(추정),미검증(추정) - 이 세션에서 라이브 검색하지 않음,"중간(순위 정밀도 낮음, 학교명은 비교적 확실)"
109,University at Albany (SUNY),Albany,NY,Public,미검증(추정),미검증(추정),미검증(추정),미검증(추정),미검증(추정) - 이 세션에서 라이브 검색하지 않음,"중간(순위 정밀도 낮음, 학교명은 비교적 확실)"
110,University of Alabama at Birmingham,Birmingham,AL,Public,미검증(추정),미검증(추정),미검증(추정),미검증(추정),미검증(추정) - 이 세션에서 라이브 검색하지 않음,"중간(순위 정밀도 낮음, 학교명은 비교적 확실)"
111,University of Arizona,Tucson,AZ,Public,미검증(추정),미검증(추정),미검증(추정),미검증(추정),미검증(추정) - 이 세션에서 라이브 검색하지 않음,"중간(순위 정밀도 낮음, 학교명은 비교적 확실)"
112,University of Kansas,Lawrence,KS,Public,미검증(추정),미검증(추정),미검증(추정),미검증(추정),미검증(추정) - 이 세션에서 라이브 검색하지 않음,"중간(순위 정밀도 낮음, 학교명은 비교적 확실)"
113,University of Nebraska-Lincoln,Lincoln,NE,Public,미검증(추정),미검증(추정),미검증(추정),미검증(추정),미검증(추정) - 이 세션에서 라이브 검색하지 않음,"중간(순위 정밀도 낮음, 학교명은 비교적 확실)"
114,University of New Hampshire,Durham,NH,Public,미검증(추정),미검증(추정),미검증(추정),미검증(추정),미검증(추정) - 이 세션에서 라이브 검색하지 않음,"중간(순위 정밀도 낮음, 학교명은 비교적 확실)"
115,University of Utah,Salt Lake City,UT,Public,미검증(추정),미검증(추정),미검증(추정),미검증(추정),미검증(추정) - 이 세션에서 라이브 검색하지 않음,"중간(순위 정밀도 낮음, 학교명은 비교적 확실)"
116,Adelphi University,Garden City,NY,Private,미검증(추정),미검증(추정),미검증(추정),미검증(추정),미검증(추정) - 이 세션에서 라이브 검색하지 않음,"중간(순위 정밀도 낮음, 학교명은 비교적 확실)"
117,Arizona State University,Tempe,AZ,Public,미검증(추정),미검증(추정),미검증(추정),미검증(추정),미검증(추정) - 이 세션에서 라이브 검색하지 않음,"중간(순위 정밀도 낮음, 학교명은 비교적 확실)"
118,James Madison University,Harrisonburg,VA,Public,미검증(추정),미검증(추정),미검증(추정),미검증(추정),미검증(추정) - 이 세션에서 라이브 검색하지 않음,"중간(순위 정밀도 낮음, 학교명은 비교적 확실)"
119,Chapman University,Orange,CA,Private,미검증(추정),미검증(추정),미검증(추정),미검증(추정),미검증(추정) - 이 세션에서 라이브 검색하지 않음,"중간(순위 정밀도 낮음, 학교명은 비교적 확실)"
120,Gonzaga University,Spokane,WA,Private,미검증(추정),미검증(추정),미검증(추정),미검증(추정),미검증(추정) - 이 세션에서 라이브 검색하지 않음,"중간(순위 정밀도 낮음, 학교명은 비교적 확실)"
